Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mikal Bridges,28.0,SF,37,37,39.2,7.7,15.2,0.506,2.4,6.7,0.349,5.4,8.5,0.631,0.583,0.8,1.2,0.705,0.9,2.4,3.3,3.2,1.1,0.5,1.6,1.5,18.6
Josh Hart,29.0,SG,36,36,37.7,5.4,9.5,0.563,1.3,3.6,0.372,4.0,5.9,0.678,0.633,2.2,2.7,0.814,1.9,7.2,9.1,5.6,1.4,0.4,1.9,2.5,14.3
OG Anunoby,27.0,PF,37,37,36.5,6.2,13.1,0.474,2.1,5.9,0.349,4.2,7.2,0.577,0.553,1.8,2.3,0.788,1.2,3.7,4.9,1.9,1.4,0.9,1.3,2.4,16.3
Jalen Brunson,28.0,PG,36,36,35.0,8.6,18.1,0.478,2.3,6.0,0.389,6.3,12.1,0.523,0.543,5.7,6.9,0.824,0.5,2.4,2.9,7.6,0.8,0.1,2.4,2.3,25.3
Karl-Anthony Towns,29.0,C,34,34,34.6,9.1,16.5,0.55,2.1,4.9,0.44,6.9,11.6,0.596,0.615,4.9,6.0,0.828,3.0,11.0,14.0,3.4,0.9,0.9,2.6,3.6,25.3
Miles McBride,24.0,PG,28,0,24.5,3.4,8.1,0.425,1.9,4.7,0.402,1.5,3.4,0.457,0.542,1.0,1.3,0.8,0.8,1.9,2.6,3.0,0.9,0.2,0.9,1.6,9.8
Precious Achiuwa,25.0,PF,16,1,19.0,2.3,4.4,0.521,0.3,0.8,0.385,2.0,3.6,0.552,0.556,0.7,1.3,0.524,1.9,4.1,6.0,0.9,0.6,0.7,1.0,1.4,5.6
Cameron Payne,30.0,PG,31,1,15.4,2.5,5.9,0.423,1.5,3.6,0.405,1.0,2.3,0.451,0.547,0.5,0.6,0.833,0.3,1.2,1.5,2.7,0.6,0.3,0.7,1.8,6.9
Jericho Sims,26.0,C,31,3,11.9,0.8,1.2,0.632,0.0,0.0,0.0,0.8,1.2,0.632,0.632,0.2,0.3,0.667,1.3,2.4,3.6,0.6,0.2,0.3,0.5,1.3,1.7
Landry Shamet,27.0,SG,8,0,11.5,1.3,2.8,0.455,0.4,1.3,0.3,0.9,1.5,0.583,0.523,0.0,0.0,,0.1,0.5,0.6,0.6,0.8,0.1,0.4,0.5,2.9
Ariel Hukporti,22.0,C,12,0,8.3,0.8,1.2,0.643,0.0,0.0,0.0,0.8,1.2,0.643,0.643,0.3,0.7,0.5,0.3,1.5,1.8,0.5,0.0,0.7,0.8,1.2,1.8
Pacome Dadiet,19.0,SG,12,0,6.8,0.5,1.7,0.3,0.4,1.2,0.357,0.1,0.5,0.167,0.425,0.2,0.2,1.0,0.0,1.1,1.1,0.4,0.1,0.2,0.1,0.4,1.6
Tyler Kolek,23.0,PG,21,0,6.1,0.8,2.0,0.405,0.5,1.2,0.4,0.3,0.8,0.412,0.524,0.2,0.2,1.0,0.1,0.5,0.6,0.7,0.3,0.0,0.3,0.6,2.3
Matt Ryan,27.0,SF,11,0,4.4,0.5,1.9,0.286,0.3,1.3,0.214,0.3,0.6,0.429,0.357,0.0,0.0,,0.0,0.3,0.3,0.0,0.1,0.0,0.3,0.0,1.4
Jacob Toppin,24.0,SF,10,0,2.6,0.1,0.3,0.333,0.0,0.2,0.0,0.1,0.1,1.0,0.333,0.0,0.0,,0.0,0.4,0.4,0.4,0.0,0.0,0.1,0.1,0.2
Team Totals,Team Totals,Team Totals,37,37,240.7,43.5,87.6,0.497,13.3,35.1,0.379,30.2,52.5,0.576,0.573,16.8,21.0,0.8,10.1,33.1,43.2,27.5,7.6,4.0,13.1,17.2,117.2
