Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Rudy Gobert 32 MIN C 37 37.0 1240.0 15.3 0.648 0.0 0.53 11.7 23.4 17.7 7.2 0.9 4.2 16.1 12.0 2.2 2.1 4.3 0.165 -1.2 1.1 -0.1 0.6
Bam Adebayo 27 MIA C 36 36.0 1232.0 17.7 0.523 0.188 0.317 7.6 23.2 15.5 21.1 2.3 2.4 12.0 22.7 0.9 2.1 3.0 0.117 -0.2 1.3 1.1 1.0
Domantas Sabonis 28 SAC C 34 34.0 1221.0 23.9 0.661 0.174 0.309 11.9 31.3 21.5 26.8 1.0 1.4 15.6 22.0 4.2 1.5 5.7 0.224 4.8 1.1 5.9 2.4
Karl-Anthony Towns 29 NYK C 35 35.0 1210.0 26.9 0.663 0.293 0.363 10.4 35.3 23.2 15.1 1.4 2.4 11.8 27.4 4.4 2.0 6.4 0.254 5.4 0.4 5.9 2.4
Anthony Davis 31 LAL C 34 34.0 1188.0 26.6 0.598 0.124 0.458 8.5 29.5 19.1 17.4 1.8 5.6 9.6 30.0 3.0 1.8 4.8 0.194 4.2 1.0 5.2 2.2
Ivica Zubac 27 LAC C 37 37.0 1188.0 20.4 0.614 0.0 0.271 13.0 30.3 21.6 12.8 1.0 3.6 13.0 18.7 2.3 2.0 4.3 0.175 1.3 0.5 1.7 1.1
Alperen ÅengÃ¼n 22 HOU C 37 37.0 1165.0 22.6 0.545 0.096 0.322 11.1 24.2 17.5 25.9 1.9 2.6 12.4 26.5 2.3 2.4 4.6 0.191 3.6 2.2 5.8 2.3
Nikola VuÄeviÄ 34 CHI C 36 36.0 1157.0 21.3 0.64 0.321 0.138 7.4 25.2 16.4 15.8 1.1 1.8 9.1 22.5 2.9 1.0 3.9 0.163 3.3 -0.4 2.9 1.4
Nikola JokiÄ 29 DEN C 31 31.0 1150.0 32.4 0.642 0.223 0.299 10.6 27.2 19.2 43.3 2.2 1.5 11.7 31.6 5.6 1.6 7.2 0.299 10.5 2.6 13.1 4.3
Brook Lopez 36 MIL C 35 35.0 1117.0 14.0 0.604 0.544 0.129 4.1 12.2 8.3 7.1 1.3 5.6 9.8 15.6 1.1 1.5 2.6 0.112 -0.3 0.9 0.6 0.7
Myles Turner 28 IND C 35 35.0 1095.0 15.3 0.602 0.437 0.247 5.3 19.8 12.6 7.0 1.3 6.2 14.6 20.4 0.5 1.2 1.6 0.072 -0.8 0.0 -0.8 0.3
Jarrett Allen 26 CLE C 37 37.0 1076.0 23.0 0.723 0.003 0.418 10.2 28.1 19.3 9.0 1.7 2.9 9.3 15.9 3.9 1.9 5.8 0.259 3.4 0.9 4.3 1.7
Victor Wembanyama 21 SAS C 32 32.0 1060.0 25.1 0.603 0.488 0.22 6.1 28.0 17.2 20.3 1.5 10.6 14.7 31.6 0.9 2.3 3.2 0.145 4.2 3.4 7.6 2.6
Jakob Poeltl 29 TOR C 33 32.0 1054.0 19.3 0.629 0.006 0.291 12.5 23.8 18.1 12.7 1.8 3.8 14.8 18.5 1.9 0.9 2.8 0.129 0.4 0.3 0.6 0.7
Yves Missi 20 NOP C 37 31.0 1009.0 16.5 0.587 0.004 0.446 14.4 19.5 16.8 7.9 1.1 4.8 12.4 13.8 1.7 0.5 2.3 0.108 -1.3 -1.3 -2.6 -0.2
Naz Reid 25 MIN C 37 0.0 918.0 15.2 0.572 0.475 0.192 4.1 18.5 11.4 10.9 1.4 3.2 10.4 22.0 0.7 1.4 2.2 0.114 -0.4 0.9 0.5 0.6
Walker Kessler 23 UTA C 30 30.0 889.0 20.5 0.709 0.016 0.414 16.1 25.9 21.1 8.1 0.8 8.0 16.3 12.7 2.2 0.9 3.1 0.166 1.3 0.7 2.0 0.9
Jalen Duren 21 DET C 35 35.0 875.0 18.5 0.681 0.0 0.458 14.4 27.8 21.1 13.4 1.2 4.6 21.3 15.1 1.7 1.3 3.0 0.166 -0.5 1.2 0.7 0.6
Clint Capela 30 ATL C 38 38.0 872.0 17.8 0.579 0.0 0.243 15.1 27.1 21.0 8.0 1.3 4.1 10.5 16.4 1.4 1.0 2.4 0.131 -0.5 -0.8 -1.3 0.2
Goga Bitadze 25 ORL C 34 31.0 852.0 20.6 0.643 0.083 0.328 12.9 27.2 19.7 15.8 1.8 6.5 16.0 15.9 1.8 1.9 3.7 0.21 0.6 3.0 3.6 1.2
Alex Sarr 19 WAS C 31 31.0 841.0 12.8 0.496 0.42 0.211 7.4 17.7 12.6 12.5 1.1 5.4 12.0 20.6 -0.3 0.5 0.2 0.011 -2.2 -0.7 -3.0 -0.2
Deandre Ayton 26 POR C 28 28.0 840.0 17.4 0.583 0.088 0.097 10.3 26.8 18.4 8.0 1.3 3.2 13.3 19.2 0.7 0.8 1.5 0.087 -0.6 -1.1 -1.8 0.1
Al Horford 38 BOS C 29 25.0 812.0 12.1 0.567 0.728 0.055 3.9 17.5 10.7 10.5 1.4 2.7 10.5 13.2 0.8 1.1 2.0 0.116 -0.1 1.1 1.0 0.6
Nic Claxton 25 BRK C 31 23.0 808.0 15.7 0.563 0.05 0.301 8.2 26.1 16.9 12.5 1.7 4.5 12.3 16.8 0.7 1.0 1.7 0.099 -1.3 1.2 -0.1 0.4
Onyeka Okongwu 24 ATL C 31 0.0 729.0 17.7 0.598 0.202 0.294 11.1 20.0 15.5 9.8 1.3 3.3 7.3 16.9 1.6 0.6 2.3 0.149 0.2 -0.3 -0.1 0.4
Daniel Gafford 26 DAL C 36 15.0 715.0 24.4 0.718 0.0 0.464 13.5 18.8 16.2 9.1 1.1 6.5 12.3 19.4 2.6 1.0 3.6 0.243 2.4 1.0 3.4 1.0
Isaiah Stewart 23 DET C 34 3.0 712.0 14.5 0.588 0.211 0.23 11.3 20.2 15.8 11.1 1.1 6.1 14.8 11.8 1.1 1.0 2.1 0.141 -1.6 1.7 0.1 0.4
