Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
OG Anunoby 27 NYK PF 38 38.0 1387.0 14.4 0.585 0.45 0.187 4.0 11.0 7.6 7.1 2.0 2.5 8.6 18.6 1.7 1.4 3.1 0.107 -0.1 -0.3 -0.4 0.6
Pascal Siakam 30 IND PF 38 38.0 1264.0 19.1 0.612 0.307 0.251 5.6 18.8 12.3 15.2 1.2 0.7 7.5 22.8 3.0 0.8 3.8 0.144 2.5 -1.0 1.6 1.1
Jayson Tatum 26 BOS PF 34 34.0 1238.0 23.8 0.604 0.518 0.348 1.8 25.8 13.8 24.7 1.8 1.2 10.4 30.9 3.4 2.1 5.5 0.213 5.7 1.2 6.9 2.8
Julius Randle 30 MIN PF 37 37.0 1220.0 17.6 0.594 0.337 0.382 6.8 16.6 11.8 21.8 1.0 0.6 15.3 25.9 2.0 1.5 3.4 0.136 1.5 -0.4 1.1 1.0
Keegan Murray 24 SAC PF 34 34.0 1206.0 10.4 0.513 0.511 0.105 7.0 16.4 11.7 5.3 1.0 2.2 7.4 14.9 0.6 1.0 1.6 0.066 -2.0 -1.2 -3.2 -0.4
Tobias Harris 32 DET PF 36 36.0 1146.0 13.6 0.555 0.374 0.199 3.6 18.8 11.2 11.2 1.1 2.6 9.1 17.7 1.1 1.2 2.3 0.097 -0.6 0.1 -0.4 0.4
Toumani Camara 24 POR PF 36 36.0 1118.0 10.9 0.546 0.519 0.145 7.4 11.9 9.6 8.8 2.2 1.4 14.4 13.8 0.6 0.6 1.2 0.051 -1.9 -0.3 -2.2 0.0
Jaden McDaniels 24 MIN PF 37 37.0 1110.0 10.5 0.523 0.433 0.13 5.2 12.0 8.7 7.5 2.2 2.3 10.3 15.0 0.3 1.7 1.9 0.084 -2.9 1.4 -1.5 0.1
Evan Mobley 23 CLE PF 35 35.0 1065.0 22.9 0.653 0.223 0.329 7.8 23.4 15.8 14.3 1.6 4.2 12.7 23.5 2.9 1.8 4.7 0.211 3.1 1.3 4.4 1.7
Cameron Johnson 28 BRK PF 32 32.0 1044.0 18.9 0.67 0.586 0.302 2.7 12.9 7.7 15.7 1.3 1.4 10.2 21.9 2.7 0.5 3.3 0.151 4.6 -0.5 4.1 1.6
Harrison Barnes 32 SAS PF 37 37.0 1031.0 12.8 0.621 0.475 0.349 5.5 8.6 7.1 7.9 0.5 0.6 6.6 14.5 2.0 0.5 2.4 0.114 0.3 -1.5 -1.2 0.2
Giannis Antetokounmpo 30 MIL PF 29 29.0 1015.0 29.9 0.617 0.035 0.512 6.5 29.2 18.2 35.0 1.0 3.9 12.2 36.1 3.0 1.7 4.7 0.222 6.0 2.5 8.5 2.7
Rui Hachimura 26 LAL PF 31 31.0 1002.0 12.6 0.593 0.389 0.214 5.9 11.9 8.9 6.7 1.3 1.7 9.0 15.0 1.2 0.5 1.7 0.082 -0.9 -1.0 -1.8 0.0
P.J. Washington 26 DAL PF 31 30.0 1000.0 13.7 0.547 0.386 0.249 4.8 20.5 12.8 8.7 1.9 2.8 12.3 18.4 0.5 1.4 1.9 0.091 -0.8 0.7 -0.1 0.5
Jalen Wilson 24 BRK PF 36 9.0 980.0 8.3 0.522 0.552 0.221 4.4 10.0 7.1 9.7 1.0 0.1 10.9 16.1 0.2 0.3 0.4 0.021 -3.1 -1.7 -4.7 -0.7
Lauri Markkanen 27 UTA PF 30 30.0 953.0 18.1 0.594 0.564 0.332 6.1 15.0 10.6 9.6 1.3 0.9 7.9 24.1 2.2 0.2 2.4 0.122 3.4 -2.0 1.3 0.8
Jerami Grant 30 POR PF 29 29.0 948.0 11.6 0.527 0.504 0.271 1.7 10.5 6.0 10.4 1.3 2.9 9.0 20.0 0.5 0.3 0.8 0.04 -0.8 -1.2 -2.0 0.0
Draymond Green 34 GSW PF 33 31.0 943.0 12.0 0.532 0.529 0.271 3.8 19.3 11.3 26.3 1.8 3.8 23.8 15.7 0.1 1.4 1.6 0.08 -2.1 2.3 0.2 0.5
Kevin Durant 36 PHO PF 26 26.0 937.0 21.7 0.634 0.31 0.364 1.5 17.7 9.8 19.8 0.9 3.5 13.4 30.4 1.6 0.6 2.2 0.113 3.6 -0.6 3.0 1.2
Guerschon Yabusele 29 PHI PF 35 14.0 867.0 15.1 0.627 0.544 0.266 7.9 17.5 12.5 11.1 1.5 1.9 12.7 16.4 1.5 0.8 2.3 0.128 0.5 -0.4 0.2 0.5
