Rk                            Player                        Age                           Team                          Pos                           G                             GS                            MP                            PER                           TS%                           3PAr                          FTr                           ORB%                          DRB%                          TRB%                          AST%                          STL%                          BLK%                          TOV%                          USG%                          OWS                           DWS                           WS                            WS/48                         OBPM                          DBPM                          BPM                           VORP                          Awards                        
Mikal Bridges                 28                            NYK                           SF                            38                            38                            1486                          13.8                          .581                          .448                          .076                          2.8                           6.7                           4.8                           11.4                          1.4                           1.2                           8.9                           19.4                          1.7                           1.0                           2.7                           .087                          0.4                           -1.2                          -0.8                          0.4                                                         
Josh Hart                     29                            NYK                           SG                            37                            37                            1396                          17.8                          .667                          .375                          .277                          6.2                           21.1                          13.8                          19.7                          1.9                           1.0                           15.1                          14.8                          3.7                           1.7                           5.4                           .185                          2.4                           1.4                           3.7                           2.0                                                         
OG Anunoby                    27                            NYK                           PF                            38                            38                            1387                          14.4                          .585                          .450                          .187                          4.0                           11.0                          7.6                           7.1                           2.0                           2.5                           8.6                           18.6                          1.7                           1.4                           3.1                           .107                          -0.1                          -0.3                          -0.4                          0.6                                                         
Anthony Edwards               23                            MIN                           SG                            37                            37                            1347                          18.2                          .579                          .492                          .209                          2.1                           15.0                          8.7                           20.1                          1.6                           1.4                           12.2                          30.4                          1.2                           1.9                           3.1                           .110                          3.1                           -0.2                          2.9                           1.7                                                         
Tyrese Haliburton             24                            IND                           PG                            38                            38                            1329                          19.8                          .586                          .585                          .235                          2.3                           9.5                           6.0                           35.6                          1.7                           1.6                           10.1                          21.6                          3.8                           0.7                           4.5                           .162                          4.7                           -0.9                          3.8                           2.0                                                         
De'Aaron Fox                  27                            SAC                           PG                            35                            35                            1305                          20.3                          .580                          .311                          .300                          3.2                           11.7                          7.4                           26.8                          2.1                           0.9                           12.5                          30.2                          2.2                           1.2                           3.4                           .126                          2.7                           -0.9                          1.8                           1.2                                                         
Jalen Brunson                 28                            NYK                           PG                            37                            37                            1296                          21.7                          .597                          .332                          .383                          1.5                           8.0                           4.9                           32.9                          1.2                           0.1                           10.0                          29.1                          4.4                           0.7                           5.1                           .189                          4.5                           -1.9                          2.7                           1.5                                                         
Trae Young                    26                            ATL                           PG                            36                            36                            1285                          18.7                          .564                          .500                          .414                          1.5                           9.1                           5.2                           48.5                          1.6                           0.5                           17.6                          27.7                          2.5                           0.5                           3.0                           .114                          3.3                           -2.4                          0.8                           0.9                                                         
Tyler Herro                   25                            MIA                           SG                            36                            36                            1273                          19.2                          .615                          .549                          .228                          1.0                           16.1                          8.6                           24.5                          1.1                           0.3                           11.1                          26.9                          2.4                           1.2                           3.7                           .138                          4.0                           -0.9                          3.1                           1.6                                                         
Pascal Siakam                 30                            IND                           PF                            38                            38                            1264                          19.1                          .612                          .307                          .251                          5.6                           18.8                          12.3                          15.2                          1.2                           0.7                           7.5                           22.8                          3.0                           0.8                           3.8                           .144                          2.5                           -1.0                          1.6                           1.1                                                         
Shai Gilgeous-Alexander       26                            OKC                           PG                            36                            36                            1248                          29.9                          .634                          .284                          .369                          2.7                           14.2                          8.5                           30.2                          2.8                           3.4                           9.8                           33.8                          4.9                           2.8                           7.7                           .295                          8.1                           3.3                           11.4                          4.3                                                         
Fred VanVleet                 30                            HOU                           PG                            35                            35                            1247                          14.2                          .509                          .562                          .180                          2.1                           10.4                          6.2                           23.4                          2.3                           1.3                           9.2                           18.9                          1.6                           2.0                           3.6                           .137                          0.3                           1.4                           1.7                           1.2                                                         
Bennedict Mathurin            22                            IND                           SG                            38                            33                            1244                          12.9                          .577                          .324                          .354                          4.4                           16.3                          10.5                          8.3                           0.9                           1.0                           12.6                          21.6                          0.7                           0.6                           1.3                           .051                          -1.6                          -2.0                          -3.6                          -0.5                                                        
Michael Porter Jr.            26                            DEN                           SF                            36                            36                            1242                          16.8                          .635                          .456                          .189                          4.9                           15.8                          10.6                          10.4                          0.9                           1.0                           8.6                           20.0                          2.5                           0.8                           3.3                           .126                          2.2                           -1.6                          0.6                           0.8                                                         
Rudy Gobert                   32                            MIN                           C                             37                            37                            1240                          15.3                          .648                          .000                          .530                          11.7                          23.4                          17.7                          7.2                           0.9                           4.2                           16.1                          12.0                          2.2                           2.1                           4.3                           .165                          -1.2                          1.1                           -0.1                          0.6                                                         
Jayson Tatum                  26                            BOS                           PF                            34                            34                            1238                          23.8                          .604                          .518                          .348                          1.8                           25.8                          13.8                          24.7                          1.8                           1.2                           10.4                          30.9                          3.4                           2.1                           5.5                           .213                          5.7                           1.2                           6.9                           2.8                                                         
Bam Adebayo                   27                            MIA                           C                             36                            36                            1232                          17.7                          .523                          .188                          .317                          7.6                           23.2                          15.5                          21.1                          2.3                           2.4                           12.0                          22.7                          0.9                           2.1                           3.0                           .117                          -0.2                          1.3                           1.1                           1.0                                                         
