Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Mikal Bridges 28 NYK SF 38 38.0 1486.0 13.8 0.581 0.448 0.076 2.8 6.7 4.8 11.4 1.4 1.2 8.9 19.4 1.7 1.0 2.7 0.087 0.4 -1.2 -0.8 0.4
Jalen Johnson 23 ATL SF 32 32.0 1163.0 18.1 0.584 0.269 0.229 5.3 25.1 15.0 21.7 1.9 2.7 15.1 22.4 1.2 1.3 2.5 0.102 1.0 1.1 2.0 1.2
LeBron James 40 LAL SF 33 33.0 1152.0 22.5 0.597 0.317 0.24 2.9 21.7 12.3 43.8 1.1 1.4 15.5 29.7 2.3 0.9 3.2 0.132 5.1 0.0 5.1 2.1
DeMar DeRozan 35 SAC SF 32 32.0 1132.0 17.1 0.568 0.146 0.332 1.8 10.1 5.9 16.2 1.8 1.1 8.0 24.1 1.8 0.9 2.8 0.117 0.1 -0.6 -0.5 0.4
Dillon Brooks 29 HOU SF 34 34.0 1081.0 10.5 0.535 0.515 0.138 4.2 8.9 6.5 7.2 1.0 0.8 7.2 17.4 1.1 1.3 2.4 0.106 -1.4 -0.2 -1.6 0.1
Zach LaVine 29 CHI SF 32 32.0 1076.0 18.2 0.641 0.444 0.239 0.8 13.4 7.2 20.6 1.2 0.7 13.8 26.1 1.6 0.5 2.1 0.095 2.6 -1.5 1.2 0.9
Jaylen Brown 28 BOS SF 30 30.0 1068.0 18.4 0.554 0.352 0.285 4.4 14.0 9.2 21.3 1.8 0.8 11.5 29.7 1.3 1.3 2.6 0.117 0.9 -0.7 0.2 0.6
Luguentz Dort 25 OKC SF 35 35.0 1043.0 11.2 0.556 0.675 0.127 5.1 10.7 8.0 7.0 1.8 2.6 6.9 13.6 1.0 1.9 2.9 0.134 -1.2 1.0 -0.2 0.5
Bilal Coulibaly 20 WAS SF 31 31.0 1041.0 11.4 0.522 0.348 0.294 4.5 12.3 8.4 14.7 1.9 2.1 14.9 17.5 0.0 0.4 0.3 0.016 -2.4 -0.6 -3.0 -0.3
Deni Avdija 24 POR SF 37 19.0 1027.0 15.8 0.586 0.414 0.382 5.0 19.6 12.1 17.3 1.7 2.1 16.7 21.5 1.0 0.7 1.7 0.079 0.4 -0.3 0.1 0.5
Julian Champagnie 23 SAS SF 37 26.0 1013.0 12.4 0.591 0.732 0.132 3.0 14.6 8.9 6.8 1.3 1.7 9.4 17.5 0.7 1.0 1.7 0.081 -0.2 -0.6 -0.8 0.3
Amen Thompson 22 HOU SF 35 8.0 1008.0 17.9 0.614 0.151 0.418 9.1 18.7 13.8 11.9 1.9 3.3 15.1 17.0 1.7 1.9 3.7 0.175 0.8 2.1 2.8 1.2
Andrew Wiggins 29 GSW SF 32 32.0 928.0 16.6 0.573 0.413 0.26 5.3 10.7 7.9 12.2 1.5 2.7 7.8 22.5 1.4 1.0 2.5 0.127 1.6 -0.3 1.2 0.8
Klay Thompson 34 DAL SF 33 33.0 912.0 13.1 0.553 0.647 0.091 2.5 10.4 6.6 10.3 1.6 1.3 9.6 21.3 0.6 0.8 1.4 0.072 0.8 -0.8 0.0 0.5
Zaccharie Risacher 19 ATL SF 38 36.0 909.0 9.8 0.495 0.419 0.212 5.7 9.9 7.8 6.9 1.5 2.2 9.8 20.5 -0.4 0.5 0.1 0.005 -3.7 -1.9 -5.6 -0.8
Caleb Martin 29 PHI SF 30 23.0 907.0 10.5 0.538 0.375 0.33 5.1 12.2 8.5 10.6 1.8 2.2 14.4 14.5 0.2 0.8 1.1 0.056 -2.2 -0.1 -2.2 0.0
Taurean Prince 30 MIL SF 35 28.0 900.0 9.2 0.595 0.63 0.087 2.6 13.4 8.2 9.4 1.7 0.6 16.6 12.6 0.3 1.0 1.3 0.067 -2.6 0.2 -2.4 -0.1
Peyton Watson 22 DEN SF 36 12.0 879.0 12.3 0.576 0.324 0.324 4.4 10.4 7.5 7.3 1.6 4.1 9.5 14.6 0.9 0.8 1.6 0.089 -1.6 0.1 -1.5 0.1
Brandon Miller 22 CHO SF 25 25.0 857.0 14.4 0.542 0.602 0.155 2.7 12.9 7.6 18.1 1.5 2.2 12.5 27.5 0.1 0.7 0.9 0.049 1.2 -0.8 0.5 0.5
Cody Martin 29 CHO SF 33 7.0 849.0 12.3 0.531 0.47 0.174 4.3 16.0 9.9 13.8 2.3 2.8 12.4 14.4 0.5 1.0 1.5 0.084 -2.1 1.4 -0.7 0.3
Haywood Highsmith 28 MIA SF 34 27.0 849.0 10.2 0.614 0.58 0.122 4.0 10.6 7.4 6.8 1.8 2.5 13.2 11.4 0.6 1.0 1.5 0.087 -2.6 0.7 -1.9 0.0
Keldon Johnson 25 SAS SF 34 0.0 837.0 14.7 0.545 0.379 0.273 5.8 16.5 11.2 9.5 1.3 0.7 6.5 21.3 0.8 0.8 1.6 0.094 -0.7 -0.9 -1.6 0.1
Franz Wagner 23 ORL SF 25 25.0 829.0 22.9 0.573 0.336 0.285 3.1 17.2 9.8 32.7 2.6 1.4 10.3 31.2 1.7 1.5 3.2 0.185 4.3 1.9 6.2 1.7
