Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Josh Hart 29 NYK SG 37 37.0 1396.0 17.8 0.667 0.375 0.277 6.2 21.1 13.8 19.7 1.9 1.0 15.1 14.8 3.7 1.7 5.4 0.185 2.4 1.4 3.7 2.0
Anthony Edwards 23 MIN SG 37 37.0 1347.0 18.2 0.579 0.492 0.209 2.1 15.0 8.7 20.1 1.6 1.4 12.2 30.4 1.2 1.9 3.1 0.11 3.1 -0.2 2.9 1.7
Tyler Herro 25 MIA SG 36 36.0 1273.0 19.2 0.615 0.549 0.228 1.0 16.1 8.6 24.5 1.1 0.3 11.1 26.9 2.4 1.2 3.7 0.138 4.0 -0.9 3.1 1.6
Bennedict Mathurin 22 IND SG 38 33.0 1244.0 12.9 0.577 0.324 0.354 4.4 16.3 10.5 8.3 0.9 1.0 12.6 21.6 0.7 0.6 1.3 0.051 -1.6 -2.0 -3.6 -0.5
Jalen Green 22 HOU SG 37 37.0 1214.0 14.8 0.541 0.469 0.227 1.8 12.8 7.2 12.1 1.5 0.9 11.0 26.6 0.8 1.7 2.5 0.099 0.7 -0.2 0.5 0.8
Derrick White 30 BOS SG 35 35.0 1202.0 17.0 0.611 0.697 0.159 3.0 11.3 7.2 18.6 1.4 3.3 10.9 19.8 2.6 1.5 4.1 0.162 3.1 0.6 3.8 1.8
Kentavious Caldwell-Pope 31 ORL SG 38 38.0 1178.0 10.3 0.559 0.635 0.177 1.1 6.7 3.8 9.4 2.6 2.0 9.2 12.9 0.7 1.9 2.6 0.107 -3.0 2.3 -0.7 0.4
Jalen Williams 23 OKC SG 36 36.0 1173.0 19.8 0.56 0.3 0.201 2.8 15.8 9.4 24.9 2.7 2.2 11.0 27.3 1.4 2.6 4.0 0.163 2.1 2.0 4.0 1.8
Christian Braun 23 DEN SG 35 35.0 1171.0 14.2 0.643 0.272 0.287 3.9 11.1 7.6 8.4 1.7 1.6 9.2 15.0 2.1 0.9 2.9 0.121 -0.4 -0.3 -0.7 0.4
Coby White 24 CHI SG 35 35.0 1151.0 14.0 0.581 0.582 0.216 1.2 9.5 5.4 20.0 1.6 0.4 13.1 23.2 0.9 0.5 1.4 0.06 -0.3 -1.5 -1.8 0.1
Dyson Daniels 21 ATL SG 34 34.0 1136.0 13.9 0.51 0.314 0.112 4.9 11.1 8.0 14.9 4.3 2.4 12.0 17.6 0.1 1.5 1.6 0.067 -2.2 2.4 0.3 0.7
Devin Booker 28 PHO SG 31 31.0 1134.0 19.8 0.57 0.411 0.381 3.2 8.4 5.9 30.9 1.4 0.7 9.7 28.7 2.8 0.3 3.1 0.131 2.9 -2.0 0.9 0.8
Donovan Mitchell 28 CLE SG 35 35.0 1100.0 20.2 0.585 0.512 0.203 1.8 13.3 7.7 21.5 2.2 0.7 9.4 29.5 2.1 1.4 3.5 0.152 3.3 -0.3 3.0 1.4
Ochai Agbaji 24 TOR SG 37 33.0 1090.0 11.7 0.606 0.462 0.089 3.4 10.9 7.1 8.4 1.4 1.7 8.4 13.8 1.3 0.2 1.5 0.066 -0.7 -0.5 -1.2 0.2
Anfernee Simons 25 POR SG 34 34.0 1086.0 15.0 0.559 0.52 0.169 1.0 8.4 4.6 25.2 1.4 0.2 12.4 24.9 1.2 0.1 1.4 0.061 1.3 -2.3 -1.0 0.3
Malik Beasley 28 DET SG 38 11.0 1085.0 14.2 0.568 0.696 0.114 2.2 9.8 6.0 10.3 1.5 0.2 7.0 23.1 1.2 0.7 1.9 0.083 1.4 -1.5 -0.1 0.5
Austin Reaves 26 LAL SG 31 31.0 1080.0 15.7 0.577 0.523 0.295 3.0 10.8 7.0 25.3 1.5 0.3 13.6 23.1 1.4 0.5 1.9 0.084 1.1 -1.4 -0.3 0.5
Kyrie Irving 32 DAL SG 30 30.0 1068.0 20.5 0.611 0.384 0.199 3.2 10.4 6.9 21.8 1.6 0.9 10.2 26.5 2.7 0.9 3.6 0.163 4.5 -0.4 4.1 1.7
Collin Sexton 26 UTA SG 36 34.0 1028.0 16.4 0.601 0.34 0.256 3.5 7.0 5.3 23.0 1.3 0.3 14.6 25.8 1.7 0.0 1.7 0.078 1.3 -2.4 -1.0 0.3
RJ Barrett 24 TOR SG 30 30.0 1020.0 17.5 0.555 0.303 0.324 3.3 18.7 11.0 28.4 1.0 1.1 13.6 29.7 0.8 0.3 1.1 0.054 1.9 -1.4 0.5 0.6
Gradey Dick 21 TOR SG 32 32.0 992.0 11.8 0.544 0.493 0.233 2.8 9.7 6.2 9.9 1.5 0.7 10.3 22.9 0.4 0.1 0.5 0.023 -1.2 -2.2 -3.4 -0.3
Norman Powell 31 LAC SG 30 30.0 990.0 18.8 0.625 0.482 0.278 1.1 10.4 5.7 12.0 1.8 0.5 10.2 27.6 1.8 1.1 2.9 0.138 3.1 -0.6 2.5 1.1
Jaylen Wells 21 MEM SG 38 33.0 979.0 11.0 0.568 0.525 0.196 4.6 9.5 7.1 8.6 0.9 0.5 10.4 17.6 1.0 0.9 1.9 0.092 -1.0 -1.1 -2.0 0.0
Donte DiVincenzo 28 MIN SG 37 5.0 953.0 11.7 0.544 0.754 0.12 1.9 12.8 7.5 19.8 2.3 0.7 16.0 18.7 0.2 1.4 1.5 0.078 -1.1 1.0 0.0 0.5
Cason Wallace 21 OKC SG 35 22.0 948.0 11.3 0.518 0.467 0.057 4.2 8.7 6.5 11.0 3.0 2.5 8.6 11.6 0.6 1.9 2.6 0.129 -2.2 2.9 0.7 0.6
Josh Green 24 CHO SG 33 32.0 933.0 7.3 0.539 0.571 0.176 4.1 6.4 5.2 7.5 1.7 1.2 13.0 11.5 0.3 0.6 0.9 0.045 -4.5 0.1 -4.4 -0.6
Malik Monk 26 SAC SG 30 17.0 925.0 16.1 0.569 0.51 0.212 1.1 12.2 6.6 24.6 1.5 1.7 11.6 23.5 1.3 0.8 2.1 0.107 1.3 -0.7 0.6 0.6
Ayo Dosunmu 25 CHI SG 30 17.0 924.0 13.4 0.582 0.417 0.18 2.1 11.2 6.7 21.3 1.2 1.3 11.0 16.4 1.4 0.4 1.8 0.093 -0.9 -0.5 -1.3 0.2
Shaedon Sharpe 21 POR SG 29 27.0 918.0 14.7 0.555 0.424 0.22 2.3 10.9 6.5 13.4 1.4 0.8 9.4 23.8 0.9 0.2 1.1 0.056 0.1 -2.0 -1.9 0.0
Amir Coffey 27 LAC SG 36 9.0 904.0 12.1 0.62 0.502 0.215 2.6 9.0 5.8 6.8 1.0 0.3 7.6 15.7 1.4 0.8 2.1 0.114 -0.6 -0.5 -1.1 0.2
Jaden Ivey 22 DET SG 30 30.0 898.0 15.3 0.569 0.373 0.281 5.0 10.4 7.7 20.6 1.5 1.2 16.1 26.3 0.5 0.7 1.2 0.063 0.7 -1.2 -0.4 0.4
Jordan Poole 25 WAS SG 28 28.0 879.0 17.0 0.595 0.55 0.302 1.3 7.7 4.5 25.7 2.5 1.5 16.3 29.0 0.6 0.3 0.9 0.048 2.0 -1.4 0.6 0.6
Bradley Beal 31 PHO SG 26 23.0 861.0 15.0 0.585 0.379 0.143 2.6 9.5 6.1 15.7 1.8 2.1 11.9 23.4 0.5 0.4 1.0 0.054 -0.3 -1.0 -1.4 0.1
Buddy Hield 32 GSW SG 37 8.0 849.0 13.0 0.575 0.693 0.073 2.8 13.3 7.8 9.6 1.6 1.0 10.2 21.8 0.4 0.9 1.3 0.076 0.0 -0.7 -0.6 0.3
Nickeil Alexander-Walker 26 MIN SG 37 2.0 844.0 12.5 0.619 0.581 0.159 2.6 10.8 6.8 15.8 1.6 1.3 15.7 16.2 0.9 1.0 1.9 0.108 -0.6 0.8 0.2 0.5
Desmond Bane 26 MEM SG 29 28.0 839.0 16.5 0.583 0.445 0.205 3.0 17.6 10.5 24.7 1.9 1.5 15.5 23.1 1.1 1.3 2.4 0.136 1.1 1.1 2.2 0.9
Quentin Grimes 24 DAL SG 36 11.0 816.0 14.5 0.604 0.551 0.233 3.8 15.7 9.9 12.9 1.4 1.0 12.4 18.6 1.2 0.8 2.0 0.116 0.9 -0.3 0.6 0.5
Max Christie 21 LAL SG 35 14.0 814.0 12.0 0.619 0.51 0.388 3.3 8.4 5.9 7.9 1.9 1.6 10.5 13.8 1.1 0.5 1.6 0.091 -1.5 0.0 -1.5 0.1
Kevin Huerter 26 SAC SG 33 15.0 794.0 11.3 0.541 0.664 0.093 2.4 13.2 7.8 10.8 2.0 2.0 10.3 16.8 0.3 0.8 1.1 0.066 -1.8 0.0 -1.8 0.0
Julian Strawther 22 DEN SG 36 0.0 773.0 11.3 0.588 0.523 0.207 1.6 9.7 5.8 8.2 1.5 1.4 9.1 17.4 0.7 0.5 1.2 0.075 -1.9 -0.9 -2.8 -0.2
Kyshawn George 21 WAS SG 30 8.0 767.0 6.4 0.436 0.67 0.147 3.4 12.9 8.2 11.4 1.4 2.4 12.8 14.8 -0.8 0.2 -0.5 -0.034 -5.0 -1.1 -6.1 -0.8
Keon Ellis 25 SAC SG 35 8.0 755.0 13.2 0.645 0.69 0.259 4.0 8.5 6.2 7.2 3.1 3.7 13.4 12.7 1.0 1.0 1.9 0.123 -0.2 1.8 1.6 0.7
Keon Johnson 22 BRK SG 35 16.0 738.0 7.5 0.467 0.562 0.124 3.6 15.5 9.3 11.1 1.9 1.5 13.4 20.6 -1.1 0.6 -0.5 -0.034 -4.7 -0.7 -5.5 -0.6
Aaron Wiggins 26 OKC SG 36 10.0 727.0 14.7 0.589 0.482 0.091 4.7 11.8 8.3 9.4 1.9 1.4 9.5 18.7 0.8 1.3 2.1 0.138 0.6 0.3 0.9 0.5
Brandin Podziemski 21 GSW SG 30 8.0 725.0 11.5 0.491 0.457 0.13 4.4 15.5 9.8 18.2 1.9 0.9 11.0 15.8 0.3 0.9 1.2 0.081 -2.3 0.9 -1.4 0.1
A.J. Green 25 MIL SG 33 4.0 717.0 11.1 0.673 0.889 0.045 0.9 9.5 5.3 8.6 1.1 0.5 9.0 13.5 1.1 0.6 1.6 0.11 -0.7 -0.3 -1.0 0.2
Javonte Green 31 NOP SG 33 12.0 698.0 10.8 0.574 0.429 0.286 4.8 12.2 8.3 4.6 2.2 2.8 11.3 11.8 0.5 0.3 0.8 0.053 -2.6 -0.2 -2.8 -0.1
Isaiah Joe 25 OKC SG 34 10.0 686.0 11.8 0.54 0.79 0.077 2.7 11.3 7.0 9.2 1.9 0.9 5.2 16.9 0.5 1.2 1.7 0.12 -0.6 0.4 -0.2 0.3
Grayson Allen 29 PHO SG 27 1.0 648.0 13.9 0.617 0.725 0.265 3.0 11.2 7.2 10.9 1.7 1.3 11.0 18.1 0.9 0.3 1.2 0.087 0.7 -1.2 -0.6 0.2
