Player                        Age                           Team                          Pos                           G                             GS                            MP                            PER                           TS%                           3PAr                          FTr                           ORB%                          DRB%                          TRB%                          AST%                          STL%                          BLK%                          TOV%                          USG%                          OWS                           DWS                           WS                            WS/48                         OBPM                          DBPM                          BPM                           VORP                          Awards                        Mikal Bridges                 28                            NYK                           SF                            45                            45                            1736                          13.4                          .578                          .451                          .077                          2.8                           6.2                           4.6                           11.6                          1.3                           1.2                           8.9                           19.3                          2.0                           0.9                           2.9                           .081                          0.3                           -1.5                          -1.2                          0.4                                                         
Josh Hart                     29                            NYK                           SG                            44                            44                            1664                          17.6                          .655                          .356                          .282                          6.8                           21.9                          14.5                          19.5                          2.0                           0.8                           15.5                          14.6                          4.2                           2.0                           6.2                           .179                          2.0                           1.4                           3.4                           2.3                                                         
OG Anunoby                    27                            NYK                           PF                            45                            45                            1653                          13.6                          .577                          .450                          .188                          4.2                           10.7                          7.6                           7.3                           1.8                           2.2                           9.1                           18.1                          1.8                           1.5                           3.3                           .096                          -0.4                          -0.5                          -0.9                          0.5                                                         
Anthony Edwards               23                            MIN                           SG                            44                            44                            1616                          18.3                          .583                          .485                          .246                          2.3                           14.9                          8.7                           20.4                          1.6                           1.4                           13.0                          30.7                          1.6                           2.0                           3.6                           .108                          3.3                           -0.5                          2.8                           2.0                                                         
Jalen Brunson                 28                            NYK                           PG                            44                            44                            1555                          22.1                          .604                          .323                          .384                          1.4                           8.0                           4.8                           32.1                          1.2                           0.1                           10.0                          29.6                          5.3                           0.8                           6.1                           .189                          4.7                           -2.0                          2.7                           1.9                                                         
Jayson Tatum                  26                            BOS                           PF                            41                            41                            1495                          22.8                          .593                          .510                          .328                          1.8                           25.7                          13.7                          24.9                          1.8                           1.3                           10.9                          30.9                          3.5                           2.5                           6.0                           .193                          5.0                           1.1                           6.1                           3.0                                                         
De'Aaron Fox                  27                            SAC                           PG                            40                            40                            1487                          19.7                          .573                          .316                          .300                          3.2                           12.2                          7.7                           26.4                          2.1                           1.1                           12.4                          29.3                          2.3                           1.5                           3.8                           .122                          2.3                           -0.7                          1.6                           1.3                                                         
Julius Randle                 30                            MIN                           PF                            44                            44                            1454                          17.0                          .580                          .330                          .382                          7.4                           16.9                          12.2                          22.1                          1.0                           0.6                           15.3                          25.4                          2.1                           1.6                           3.7                           .124                          1.1                           -0.5                          0.6                           0.9                                                         
Rudy Gobert                   32                            MIN                           C                             44                            44                            1452                          15.7                          .669                          .000                          .560                          11.2                          22.7                          17.1                          7.4                           0.9                           4.2                           15.4                          11.9                          2.9                           2.2                           5.1                           .169                          -0.7                          1.1                           0.4                           0.9                                                         
Tyrese Haliburton             24                            IND                           PG                            42                            42                            1449                          19.5                          .586                          .577                          .232                          2.1                           9.5                           5.9                           35.7                          1.7                           1.6                           10.9                          21.5                          3.9                           1.0                           4.9                           .161                          4.4                           -0.6                          3.7                           2.1                                                         
Tyler Herro                   25                            MIA                           SG                            41                            41                            1448                          20.0                          .626                          .550                          .229                          1.0                           16.3                          8.8                           24.5                          1.0                           0.3                           11.0                          27.0                          3.1                           1.3                           4.4                           .146                          4.5                           -0.9                          3.5                           2.0                                                         
Domantas Sabonis              28                            SAC                           C                             40                            40                            1442                          24.2                          .678                          .179                          .316                          11.9                          32.1                          22.0                          26.0                          0.9                           1.3                           16.1                          21.8                          5.1                           1.8                           7.0                           .232                          5.0                           1.2                           6.2                           3.0                                                         
Trae Young                    26                            ATL                           PG                            40                            40                            1438                          18.4                          .562                          .491                          .403                          1.5                           8.8                           5.1                           47.1                          1.8                           0.6                           17.9                          28.2                          2.3                           0.8                           3.2                           .106                          3.1                           -2.1                          1.0                           1.1                                                         
Shai Gilgeous-Alexander       26                            OKC                           PG                            42                            42                            1436                          31.2                          .643                          .274                          .390                          2.8                           13.9                          8.4                           30.9                          2.9                           3.3                           9.8                           34.5                          6.3                           3.2                           9.6                           .320                          8.6                           3.6                           12.2                          5.2                                                         
Pascal Siakam                 30                            IND                           PF                            43                            43                            1432                          19.6                          .608                          .290                          .258                          5.9                           18.6                          12.4                          15.4                          1.3                           0.9                           6.9                           23.2                          3.5                           1.2                           4.6                           .155                          2.7                           -0.6                          2.1                           1.5                                                         
Michael Porter Jr.            26                            DEN                           SF                            43                            43                            1432                          16.7                          .629                          .466                          .191                          5.3                           15.7                          10.7                          9.7                           0.9                           1.2                           8.4                           20.1                          2.8                           1.1                           3.9                           .131                          2.2                           -1.5                          0.7                           1.0                                                         
Fred VanVleet                 30                            HOU                           PG                            40                            40                            1432                          14.3                          .524                          .581                          .178                          2.1                           10.1                          6.0                           22.8                          2.3                           1.2                           9.9                           18.5                          2.0                           2.1                           4.2                           .140                          0.4                           1.4                           1.9                           1.4                                                         
Cade Cunningham               23                            DET                           PG                            40                            40                            1423                          19.4                          .552                          .316                          .226                          2.8                           17.3                          10.2                          44.0                          1.3                           2.3                           17.4                          32.2                          1.3                           1.5                           2.8                           .096                          3.2                           -0.1                          3.0                           1.8                                                         
Derrick White                 30                            BOS                           SG                            42                            42                            1423                          15.7                          .590                          .703                          .157                          3.0                           11.2                          7.1                           17.6                          1.4                           3.3                           11.0                          19.6                          2.4                           1.8                           4.2                           .142                          2.2                           0.5                           2.8                           1.7                                                         
Keegan Murray                 24                            SAC                           PF                            40                            40                            1421                          10.7                          .525                          .528                          .099                          6.5                           15.8                          11.1                          5.1                           1.0                           2.4                           7.0                           14.7                          0.9                           1.3                           2.2                           .073                          -1.6                          -1.0                          -2.6                          -0.2                                                        
Jalen Green                   22                            HOU                           SG                            43                            43                            1410                          15.6                          .559                          .460                          .231                          1.8                           12.4                          7.0                           12.9                          1.4                           0.9                           11.5                          26.9                          1.4                           1.8                           3.2                           .110                          1.4                           -0.4                          1.0                           1.1                                                         
Devin Booker                  28                            PHO                           SG                            38                            38                            1396                          20.7                          .586                          .412                          .369                          3.1                           8.4                           5.8                           29.5                          1.6                           0.7                           10.0                          29.3                          3.6                           0.5                           4.1                           .141                          3.5                           -1.8                          1.6                           1.3                                                         
Karl-Anthony Towns            29                            NYK                           C                             40                            40                            1394                          26.1                          .655                          .293                          .360                          10.1                          34.9                          22.8                          15.5                          1.4                           2.3                           12.2                          27.4                          4.7                           2.2                           7.0                           .240                          5.0                           0.4                           5.4                           2.6                                                         
Nikola VuÄeviÄ              34                            CHI                           C                             43                            43                            1389                          21.8                          .636                          .313                          .146                          7.8                           25.2                          16.7                          16.4                          1.2                           1.7                           8.8                           22.6                          3.6                           1.4                           5.0                           .174                          3.5                           -0.2                          3.2                           1.8                                                         
Christian Braun               23                            DEN                           SG                            42                            42                            1376                          14.6                          .653                          .258                          .276                          4.4                           11.0                          7.9                           7.7                           1.5                           1.6                           8.6                           15.1                          2.7                           1.1                           3.8                           .133                          0.0                           -0.4                          -0.4                          0.5                                                         
Bam Adebayo                   27                            MIA                           C                             41                            41                            1374                          17.2                          .521                          .190                          .304                          7.8                           23.5                          15.8                          20.9                          2.1                           2.2                           12.1                          22.5                          1.0                           2.2                           3.1                           .110                          -0.4                          1.1                           0.6                           0.9                                                         
Bennedict Mathurin            22                            IND                           SF                            42                            37                            1368                          12.7                          .575                          .338                          .329                          4.4                           16.2                          10.4                          8.4                           1.0                           1.0                           13.0                          21.7                          0.6                           0.9                           1.5                           .051                          -1.8                          -1.7                          -3.5                          -0.5                                                        
Jalen Williams                23                            OKC                           SG                            42                            42                            1365                          19.4                          .557                          .292                          .223                          2.7                           15.5                          9.2                           23.9                          2.6                           2.2                           11.2                          27.4                          1.6                           3.0                           4.5                           .159                          1.8                           1.9                           3.7                           2.0                                                         
DeMar DeRozan                 35                            SAC                           SF                            38                            38                            1361                          17.5                          .567                          .158                          .321                          1.6                           10.3                          5.9                           16.0                          1.7                           1.2                           7.0                           24.7                          2.3                           1.1                           3.5                           .122                          0.3                           -0.6                          -0.3                          0.6                                                         
Tobias Harris                 32                            DET                           PF                            42                            42                            1361                          13.0                          .549                          .361                          .193                          3.4                           17.7                          10.6                          10.8                          1.2                           2.4                           8.9                           17.2                          1.2                           1.5                           2.7                           .095                          -0.9                          0.4                           -0.5                          0.5                                                         
Jaden McDaniels               24                            MIN                           PF                            44                            44                            1359                          11.6                          .542                          .420                          .132                          5.4                           12.7                          9.1                           7.2                           2.3                           2.6                           9.8                           15.2                          0.7                           2.0                           2.7                           .094                          -2.2                          1.4                           -0.8                          0.4                                                         
Nikola JokiÄ                 29                            DEN                           C                             37                            37                            1347                          33.2                          .651                          .213                          .316                          10.9                          28.1                          19.9                          43.9                          2.5                           1.5                           11.7                          30.4                          7.1                           2.1                           9.2                           .328                          10.8                          3.4                           14.2                          5.5                                                         
Alperen ÅengÃ¼n              22                            HOU                           C                             43                            43                            1346                          22.4                          .538                          .092                          .315                          11.3                          24.4                          17.7                          25.9                          2.0                           2.5                           12.2                          26.6                          2.5                           2.7                           5.2                           .184                          3.3                           2.1                           5.4                           2.5                                                         
James Harden                  35                            LAC                           PG                            40                            40                            1343                          18.5                          .567                          .522                          .424                          1.9                           17.1                          9.6                           37.2                          2.1                           1.9                           19.7                          30.1                          1.0                           2.2                           3.2                           .115                          2.5                           0.8                           3.3                           1.8                                                         
LeBron James                  40                            LAL                           SF                            38                            38                            1328                          22.7                          .603                          .319                          .236                          2.9                           21.3                          12.2                          44.2                          1.3                           1.6                           16.2                          29.6                          2.6                           1.1                           3.7                           .134                          5.1                           0.2                           5.3                           2.5                                                         
Zach LaVine                   29                            CHI                           SF                            39                            39                            1327                          18.7                          .639                          .422                          .238                          0.9                           13.6                          7.4                           20.6                          1.3                           0.6                           13.3                          26.6                          2.1                           0.8                           2.8                           .103                          2.8                           -1.3                          1.4                           1.2                                                         
Anthony Davis                 31                            LAL                           C                             38                            38                            1326                          26.8                          .598                          .128                          .427                          9.0                           29.6                          19.4                          17.5                          1.8                           5.8                           9.4                           29.9                          3.3                           2.1                           5.4                           .196                          4.3                           1.1                           5.4                           2.5                                                         
Jamal Murray                  27                            DEN                           PG                            37                            37                            1323                          16.4                          .561                          .354                          .228                          1.7                           10.1                          6.1                           23.2                          2.0                           1.4                           11.4                          23.6                          1.8                           1.1                           2.9                           .106                          0.7                           -0.7                          0.1                           0.7                                                         
Tyrese Maxey                  24                            PHI                           PG                            35                            35                            1320                          19.8                          .552                          .449                          .270                          0.8                           10.4                          5.4                           28.5                          2.6                           1.0                           9.2                           30.9                          1.8                           1.0                           2.8                           .102                          3.2                           -0.8                          2.4                           1.4                                                         
